iteration,residual_norm,augmented_norm,correction_norm,jacobian_condition,min_singular_value,linear_solver,stage_index,smooth_width_m,run,step_index,z_W0_m,ds_scaled
2,1.6747812311942774e-08,1.6747812311942774e-08,0.0,1982.65813880616,0.9537141502729959,not_needed,1,300.0,downward,4,8154.098975589798,0.22
0,1.1397142009991879,1.1397142009991879,0.0019045600070742635,1974.3701910395478,0.9542110151285916,solve,1,300.0,downward,5,7934.140069033754,0.22
1,0.0006973360885700063,0.0006973360885700063,1.1788488496927208e-06,1976.6648639166037,0.954221857983903,solve,1,300.0,downward,5,7934.140069033754,0.22
2,5.434647718919339e-08,5.434647718919339e-08,0.0,1976.6634813250448,0.9542218502557048,not_needed,1,300.0,downward,5,7934.140069033754,0.22
0,0.5507758742537142,0.5507758742537142,0.0009199156984933869,1972.8487336636254,0.9543784460701965,solve,1,300.0,downward,6,7714.149584755576,0.22
1,0.00016283646659644927,0.00016283646659644927,2.7529959958555484e-07,1973.956723797627,0.9543837062493341,solve,1,300.0,downward,6,7714.149584755576,0.22
2,6.554863169911578e-10,6.554863169911578e-10,0.0,1973.9556370742803,0.9543836927109367,not_needed,1,300.0,downward,6,7714.149584755576,0.22
0,0.2652730068929267,0.2652730068929267,0.00044295308972260993,1972.1643997031927,0.9544390379652069,solve,1,300.0,downward,7,7494.151783831698,0.22
1,3.773648339544784e-05,3.773648339544784e-05,6.379532154849098e-08,1972.6968822289703,0.954441559369187,solve,1,300.0,downward,7,7494.151783831698,0.22
2,7.573535380176577e-09,7.573535380176578e-09,0.0,1972.6975655250335,0.9544415705813336,not_needed,1,300.0,downward,7,7494.151783831698,0.22
0,0.12757602499524193,0.12757602499524193,0.00021300089976730634,1971.8459587996765,0.9544634610566005,solve,1,300.0,downward,8,7274.15229156671,0.22
1,8.714346396466353e-06,8.714346396466353e-06,1.4729347234724894e-08,1972.1015495011345,0.954464667362958,solve,1,300.0,downward,8,7274.15229156671,0.22
2,1.2416705225483408e-07,1.2416705225483408e-07,1.5306235899223963e-10,1972.1022941870033,0.9544646789401072,solve,1,300.0,downward,8,7274.15229156671,0.22
3,9.103846601982983e-08,9.103846601982983e-08,0.0,1972.1022983602368,0.9544646790102925,not_needed,1,300.0,downward,8,7274.15229156671,0.22
0,0.061312707853059284,0.061312707853059284,0.00010236182194513158,1971.6954686646006,0.9544741033696643,solve,1,300.0,downward,9,7054.152408744285,0.22
1,2.0164810196747074e-06,2.0164810196747074e-06,3.4092036043412867e-09,1971.8186459117944,0.9544746886541925,solve,1,300.0,downward,9,7054.152408744285,0.22
2,4.8425537169030203e-08,4.8425537169030203e-08,0.0,1971.8178833471245,0.9544746770241387,not_needed,1,300.0,downward,9,7054.152408744285,0.22
0,0.002035564383298159,0.002035564383298159,3.3981884787569174e-06,1971.770952505176,0.9544763197765712,solve,1,300.0,downward,10,7001.0830455672185,0.05306937619452195
1,6.046736027028108e-08,6.046736027028108e-08,0.0,1971.7765666788096,0.9544763625973814,not_needed,1,300.0,downward,10,7001.0830455672185,0.05306937619452195
0,3.998646359248046e-06,3.998646359248046e-06,6.6638742555668955e-09,1971.7732101075437,0.9544764040931631,solve,1,300.0,downward,11,6998.583046079695,0.0025
1,7.257885511021902e-08,7.257885511021902e-08,0.0,1971.7739796321703,0.9544764158082841,not_needed,1,300.0,downward,11,6998.583046079695,0.0025
0,91.63990901607224,91.63990901607224,0.140372392406777,2037.8658987298852,0.9456283289061731,solve,1,300.0,upward,1,9088.877814863878,0.16
1,3.0860541783345097,3.0860541783345097,0.0044961762302941155,2191.0436196125593,0.9547201708293056,solve,1,300.0,upward,1,9088.877814863878,0.16
2,0.003783724738872409,0.003783724738872409,5.391114432356986e-06,2185.9453641010077,0.9545215647078616,solve,1,300.0,upward,1,9088.877814863878,0.16
3,6.878327310211566e-08,6.878327310211566e-08,0.0,2185.9410387110242,0.9545213586732683,not_needed,1,300.0,upward,1,9088.877814863878,0.16
0,17.771746577952374,17.771746577952374,0.02212225152846117,2338.6203245317674,0.9422870775166212,solve,1,300.0,upward,2,9249.54557187316,0.2
1,0.06782711063701433,0.06782711063701433,8.504914125435181e-05,2361.321289083951,0.9451175353072694,solve,1,300.0,upward,2,9249.54557187316,0.2
