run,variant,direction,branch,point,ty,type,label,is_user_point,is_special_point,q_H_scaled,H_a3,scaled_l2_norm,Z_or_ZH_scaled,U_or_UH_scaled,P_log_ratio_over_10,M_log_ratio,z_m,u_m_s,m_kg
q-minus,task019_state_scale,downward,1,18,0,regular,0,False,False,-7.905619034,0.602094380966,2.5567473605,2.2868242186,-1.1434121093,-0.00089829745269,-0.0089829745269,9846.709954120935,0.7664502293953224,1.070569172659447e-09
q-minus,task019_state_scale,downward,1,19,0,regular,0,False,False,-8.8634812468,0.6011365187532,2.8798692155,2.5758331743,-1.2879165871,-0.0010106720936,-0.010106720936,9875.610849690936,0.6219457515953224,1.0693668001034292e-09
q-minus,task019_state_scale,downward,1,20,4,NPR,3,False,False,-9.9160715433,0.6000839284567,3.2384247916,2.8965350117,-1.4482675058,-0.0011350706217,-0.011350706217,9907.681033430936,0.4615948328953223,1.0680373506233465e-09
q-minus,task019_state_scale,downward,1,21,-4,UZ,4,True,False,-10.0,0.6,3.2671725938,2.9222478261,-1.4611239131,-0.0011450308908,-0.011450308908,9910.252314870935,0.4487384255953224,1.067930976526797e-09
q-minus,task019_state_scale,downward,1,22,0,regular,0,False,False,-11.156441804,0.598843558196,3.6656918829,3.2786942931,-1.6393471466,-0.0012828988041,-0.012828988041000002,9945.896961570936,0.2705151920953224,1.0664596568458979e-09
q-minus,task019_state_scale,downward,1,23,0,regular,0,False,False,-12.426907287,0.597573092713,4.1087377158,3.6749665093,-1.8374832547,-0.0014357181362,-0.014357181362,9985.524183190935,0.07237908399532245,1.0648311449786014e-09
q-minus,task019_state_scale,downward,1,24,0,regular,0,False,False,-12.775982014,0.597224017986,4.2314415679,3.7847161646,-1.8923580823,-0.0014779582758,-0.014779582757999999,9996.499148720935,0.017504256395322493,1.0643814537982358e-09
q-minus,task019_state_scale,downward,1,25,0,regular,0,False,False,-12.871954383,0.597128045617,4.2652510068,3.8149562442,-1.9074781221,-0.0014895906057,-0.014895906056999999,9999.523156680936,0.002384216595322508,1.0642576486369876e-09
q-minus,task019_state_scale,downward,1,26,0,regular,0,False,False,-12.880951279,0.597119048721,4.2684221008,3.8177925568,-1.9088962784,-0.0014906814971,-0.014906814971,9999.806787940935,0.000966060295322313,1.06424603880515e-09
q-minus,task019_state_scale,downward,1,27,0,regular,0,False,False,-12.884325092,0.597115674908,4.2696113257,3.8188562318,-1.9094281159,-0.0014910905974,-0.014910905973999999,9999.913155440936,0.00043422279532245867,1.0642416849803183e-09
q-minus,task019_state_scale,downward,1,28,0,regular,0,False,False,-12.886855443,0.5971131445569999,4.2705032673,3.8196540086,-1.9098270043,-0.0014913974283,-0.014913974283,9999.992933120935,3.5334395322328405e-05,1.064238419562988e-09
q-minus,task019_state_scale,downward,1,29,0,regular,0,False,False,-12.88701359,0.59711298641,4.2705590145,3.8197038704,-1.9098519352,-0.0014914166054,-0.014914166054,9999.997919300937,1.0403495322330869e-05,1.0642382154729416e-09
q-minus,task019_state_scale,downward,1,30,4,NPR,5,False,False,-12.887053127,0.597112946873,4.2705729511,3.8197163357,-1.9098581679,-0.0014914213997,-0.014914213997,9999.999165830935,4.170795322444576e-06,1.06423816445017e-09
q-minus,task019_state_scale,downward,1,31,0,regular,0,False,False,-12.887072895,0.597112927105,4.2705799196,3.8197225685,-1.9098612842,-0.0014914237968,-0.014914237968,9999.999789110936,1.0544953223945441e-06,1.064238138939317e-09
q-minus,task019_state_scale,downward,1,32,0,regular,0,False,False,-12.887077837,0.5971129221629999,4.2705816617,3.8197241267,-1.9098620633,-0.0014914243961,-0.014914243960999999,9999.999944930936,2.753953223244565e-07,1.064238132561338e-09
q-minus,task019_state_scale,downward,1,33,2,LP,6,False,True,-12.887079073,0.597112920927,4.2705820971,3.8197245161,-1.9098622581,-0.0014914245459,-0.014914245459,9999.999983870935,8.05953224158884e-08,1.0642381309671094e-09
q-minus,task019_state_scale,downward,1,-34,-9,MX,7,False,False,-12.887079073,0.597112920927,4.2705820971,3.8197245161,-1.9098622581,-0.0014914245459,-0.014914245459,9999.999983870935,8.05953224158884e-08,1.0642381309671094e-09
hscaled-plus,larger_H_state_scale,upward,1,1,9,EP,1,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
hscaled-plus,larger_H_state_scale,upward,1,-2,-9,MX,2,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
hscaled-minus,larger_H_state_scale,downward,1,1,9,EP,1,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
hscaled-minus,larger_H_state_scale,downward,1,2,-9,MX,2,False,False,0.0,0.61,0.0,0.0,0.0,0.0,0.0,9618.027532260936,1.9098623386953224,1.0802293920592052e-09
