control,control_value,success,message,z_m,u_m_s,w_m_s,m_kg,rhs_norm,critical_real_s_inv,critical_imag_s_inv,stable_eigenvalue_count
H_a3,0.475,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,4.204561567242362e-13,-0.00010189942034238935,0.00010814318131167784,4
H_a3,0.5,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,3.6217245922321944e-13,-8.433609853247248e-05,0.00012773065627293782,4
H_a3,0.525,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,3.0800040813994804e-13,-6.677301704094895e-05,0.0001425421487065002,4
H_a3,0.55,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,2.605169208823651e-13,-4.921017585786417e-05,0.00015396234268985623,4
H_a3,0.575,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,2.2401548373084431e-13,-3.164757497836428e-05,0.00016270698451505535,4
H_a3,0.6,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,2.044638522252681e-13,-1.4085214394614043e-05,0.0001691915157764899,4
H_a3,0.625,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,2.0672749848642042e-13,3.4769058993414246e-06,0.00017366936034918728,2
H_a3,0.65,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,2.301628012524819e-13,2.103878591124469e-05,0.0001762935660679722,2
H_a3,0.675,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,2.6929730610663833e-13,3.86004256478077e-05,0.00017714660164980592,2
H_a3,0.7,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,3.183932057956898e-13,5.6161825115021325e-05,0.00017625425665113812,2
H_a3,0.725,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,3.7354263644699196e-13,7.372298432083748e-05,0.00017358968994681467,2
H_a3,0.75,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,4.324352497631581e-13,9.128390327167276e-05,0.00016906920485945431,2
H_a3,0.775,True,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",9618.027532260936,1.9098623386953224,0.0,1.0802293920592036e-09,4.93732993045256e-13,0.00010884458197541494,0.00016253810383323088,2
