iteration,residual_norm,correction_norm,state_jacobian_condition,state_jacobian_min_singular_value,linear_solver,step_factor,experiment,z_W0_m,smooth_width_m
4,8.253390523244282e-08,7.242742165303846e-11,3362.807832511631,0.9028041081049067,solve,1.0,fixed_z_width_path,9700.0,100.0
5,3.6702579950725585e-08,8.095668982240108e-12,3362.8078268855766,0.9028041078225247,solve,0.25,fixed_z_width_path,9700.0,100.0
0,40.220787580334694,0.06556698447881089,3360.314795121756,0.9070832881327907,solve,1.0,fixed_z_width_path,9700.0,75.0
1,0.809692439774572,0.0014370564498242787,3224.182138284724,0.9066874597491824,solve,1.0,fixed_z_width_path,9700.0,75.0
2,0.0003865381760180593,6.891770665706695e-07,3221.311954076177,0.9066769811511257,solve,1.0,fixed_z_width_path,9700.0,75.0
3,3.3068969315046814e-08,1.575108870315538e-11,3221.311705189574,0.9066770370043505,solve,0.5,fixed_z_width_path,9700.0,75.0
4,2.1914624796610175e-08,1.0462065299709099e-11,3221.3106481693594,0.9066769744720379,solve,0.5,fixed_z_width_path,9700.0,75.0
5,1.530698162210208e-08,7.296955925608107e-12,3221.3117010828155,0.9066770367237491,solve,0.5,fixed_z_width_path,9700.0,75.0
6,1.014820440874146e-08,4.8444614114081266e-12,3221.310652293933,0.9066769746727034,solve,0.5,fixed_z_width_path,9700.0,75.0
0,45.50773461355728,0.07481484143786421,3221.259308075412,0.9112108722175262,solve,1.0,fixed_z_width_path,9700.0,50.0
1,1.0309338698627746,0.0018750796324360163,3073.372927378981,0.9107446970722766,solve,1.0,fixed_z_width_path,9700.0,50.0
2,0.0006317316088958037,1.1734698140939313e-06,3069.8275197601356,0.9107305028573135,solve,1.0,fixed_z_width_path,9700.0,50.0
3,7.18400875784895e-08,7.527691612587421e-11,3069.825430960467,0.9107304912607943,solve,1.0,fixed_z_width_path,9700.0,50.0
4,2.8078018952478055e-08,1.46831946318286e-11,3069.82641574036,0.9107305620769995,solve,0.5,fixed_z_width_path,9700.0,50.0
5,2.0325302939712575e-08,1.0630046800950656e-11,3069.82444210542,0.9107304202784126,solve,0.5,fixed_z_width_path,9700.0,50.0
6,1.4633390716673058e-08,7.656450403785722e-12,3069.825422946022,0.9107304907622619,solve,0.5,fixed_z_width_path,9700.0,50.0
7,1.066432882157201e-08,5.574481256519751e-12,3069.8254223695494,0.9107304906502254,solve,0.5,fixed_z_width_path,9700.0,50.0
0,23.154255869790497,0.03933720364528354,3071.8716288905616,0.9127849029572548,solve,1.0,fixed_z_width_path,9700.0,35.0
1,0.2756488092808371,0.0005104997471599279,2997.150325079339,0.9125273654380153,solve,1.0,fixed_z_width_path,9700.0,35.0
2,4.5918577138045515e-05,8.736317711693729e-08,2996.2132139884916,0.9125232758242462,solve,1.0,fixed_z_width_path,9700.0,35.0
3,5.314462999300437e-08,1.4657522420353347e-11,2996.2130712305293,0.9125232754870151,solve,0.25,fixed_z_width_path,9700.0,35.0
0,9.442570003435868,0.01636643776623019,2998.2474469144095,0.9131823299908682,solve,1.0,fixed_z_width_path,9700.0,25.0
1,0.04681422016575743,8.756593555993571e-05,2967.7507541523705,0.9130708908539206,solve,1.0,fixed_z_width_path,9700.0,25.0
2,1.3841512219166961e-06,2.6538572866766632e-09,2967.5920615296313,0.9130701565530068,solve,1.0,fixed_z_width_path,9700.0,25.0
3,1.209362006041027e-07,6.856315533591244e-11,2967.5929990980144,0.9130702367534217,solve,0.5,fixed_z_width_path,9700.0,25.0
4,5.189666389236292e-08,2.942267840213329e-11,2967.5920549417187,0.9130701563282373,solve,0.5,fixed_z_width_path,9700.0,25.0
5,3.7877683596834626e-08,2.147226672075581e-11,2967.592057768016,0.913070156634666,solve,0.5,fixed_z_width_path,9700.0,25.0
6,2.8402265940524222e-08,1.6101614621530677e-11,2967.593000860154,0.9130702369165413,solve,0.5,fixed_z_width_path,9700.0,25.0
7,2.1225946337771967e-08,1.203516949345436e-11,2967.5930069282854,0.9130702374224152,solve,0.5,fixed_z_width_path,9700.0,25.0
8,1.6175805771179072e-08,9.169158574910232e-12,2967.593001745508,0.9130702369752762,solve,0.5,fixed_z_width_path,9700.0,25.0
9,1.2014252549969885e-08,6.811262713891218e-12,2967.5911186782505,0.9130700765127945,solve,0.5,fixed_z_width_path,9700.0,25.0
0,3.460579253671092,0.006054822846880849,2969.170862701053,0.9131771014492955,solve,1.0,fixed_z_width_path,9700.0,10.0
1,0.006353207726510866,1.1948282021264741e-05,2957.9764695612466,0.9131345632382818,solve,1.0,fixed_z_width_path,9700.0,10.0
2,5.763888805143979e-08,4.4947290729161904e-11,2957.9539966753277,0.9131343766572732,solve,0.5,fixed_z_width_path,9700.0,10.0
3,4.5859690711711654e-08,4.1618509520507355e-11,2957.954001212148,0.9131343769824829,solve,1.0,fixed_z_width_path,9700.0,10.0
