experiment,z_W0_m,smooth_width_m,eigenvalue_index,real_s_inv,imag_s_inv
two_parameter_map,9700.0,25.0,2,0.0019216782734477365,0.0
two_parameter_map,9700.0,25.0,3,1.5389672405537304e-05,0.0
two_parameter_map,9800.0,25.0,0,-48.12885344854163,0.0
two_parameter_map,9800.0,25.0,1,-49.75569881804445,0.0
two_parameter_map,9800.0,25.0,2,0.0019447758572654608,0.0
two_parameter_map,9800.0,25.0,3,1.66588402187338e-05,0.0
two_parameter_map,9900.0,25.0,0,-359.12528925101736,0.0
two_parameter_map,9900.0,25.0,1,-359.8418362667711,0.0
two_parameter_map,9900.0,25.0,2,0.0007960370926362466,0.0
two_parameter_map,9900.0,25.0,3,4.292462165207302e-05,0.0
two_parameter_map,9930.0,25.0,0,-1030.8572509952319,0.0
two_parameter_map,9930.0,25.0,1,-1031.318881460253,0.0
two_parameter_map,9930.0,25.0,2,0.0001722270824938916,5.632388362161458e-05
two_parameter_map,9930.0,25.0,3,0.0001722270824938916,-5.632388362161458e-05
two_parameter_map,9950.0,25.0,0,-2206.993316152627,0.0
two_parameter_map,9950.0,25.0,1,-2207.3292462529566,0.0
two_parameter_map,9950.0,25.0,2,8.389877836607288e-05,0.0001529918656090603
two_parameter_map,9950.0,25.0,3,8.389877836607288e-05,-0.0001529918656090603
two_parameter_map,10000.0,25.0,0,-15918.00539438973,0.0
two_parameter_map,10000.0,25.0,1,-15918.152572857542,0.0
two_parameter_map,10000.0,25.0,2,1.0670129610887662e-05,0.00015649438022999245
two_parameter_map,10000.0,25.0,3,1.0670129610887662e-05,-0.00015649438022999245
two_parameter_map,9600.0,10.0,0,-16.426697872489427,0.0
two_parameter_map,9600.0,10.0,1,-18.79967509284868,0.0
two_parameter_map,9600.0,10.0,2,0.00013630714157244263,0.00010228363846365037
two_parameter_map,9600.0,10.0,3,0.00013630714157244263,-0.00010228363846365037
two_parameter_map,9700.0,10.0,0,-23.29219139296923,0.0
two_parameter_map,9700.0,10.0,1,-25.417700502173904,0.0
two_parameter_map,9700.0,10.0,2,0.0019763786073994302,0.0
two_parameter_map,9700.0,10.0,3,1.4916555019781613e-05,0.0
two_parameter_map,9800.0,10.0,0,-48.34703681923211,0.0
two_parameter_map,9800.0,10.0,1,-49.971057457749886,0.0
two_parameter_map,9800.0,10.0,2,0.0019797290671261006,0.0
two_parameter_map,9800.0,10.0,3,1.6342086868546895e-05,0.0
two_parameter_map,9900.0,10.0,0,-1467.4202706239366,0.0
two_parameter_map,9900.0,10.0,1,-1467.8189401239133,0.0
two_parameter_map,9900.0,10.0,2,0.0005044350131347308,0.0
two_parameter_map,9900.0,10.0,3,6.175996441945882e-05,0.0
two_parameter_map,9930.0,10.0,0,-26475.91113891935,0.0
two_parameter_map,9930.0,10.0,1,-26476.03014050925,0.0
two_parameter_map,9930.0,10.0,2,1.6862024382314448e-05,0.0001970834530651201
two_parameter_map,9930.0,10.0,3,1.6862024382314448e-05,-0.0001970834530651201
