run,line,label,message
q-plus,381,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,382,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,383,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,384,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,385,1,1     2  12                NaN           NaN
q-plus,389,1,1     1 NOTE:Retrying step
q-plus,409,1,1     1 NOTE:Retrying step
q-plus,420,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 2.6475E-298 in GE
q-plus,421,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 2.6475E-298 in GE
q-plus,422,1,1     2   7                NaN           NaN
q-plus,423,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,424,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,425,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,426,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,427,1,1     2   8                NaN           NaN
q-plus,428,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,429,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,430,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,431,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,432,1,1     2   9                NaN           NaN
q-plus,433,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,434,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,435,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,436,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,437,1,1     2  10                NaN           NaN
q-plus,438,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,439,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,440,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,441,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,442,1,1     2  11                NaN           NaN
q-plus,443,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,444,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,445,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,446,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,447,1,1     2  12                NaN           NaN
q-plus,451,1,1     1 NOTE:Retrying step
q-plus,471,1,1     1 NOTE:Retrying step
q-plus,482,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 1.0591E-297 in GE
q-plus,483,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 1.0591E-297 in GE
q-plus,484,1,1     2   7                NaN           NaN
q-plus,485,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,486,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,487,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,488,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,489,1,1     2   8                NaN           NaN
q-plus,490,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,491,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,492,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,493,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,494,1,1     2   9                NaN           NaN
q-plus,495,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,496,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,497,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,498,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,499,1,1     2  10                NaN           NaN
q-plus,500,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,501,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,502,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,503,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,504,1,1     2  11                NaN           NaN
q-plus,505,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,506,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,507,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,508,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,509,1,1     2  12                NaN           NaN
q-plus,513,1,1     1 NOTE:Retrying step
q-plus,524,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 2.1182E-297 in GE
q-plus,525,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 2.1182E-297 in GE
q-plus,526,1,1     2   7                NaN           NaN
q-plus,527,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,528,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,529,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,530,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,531,1,1     2   8                NaN           NaN
q-plus,532,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,533,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,534,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,535,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,536,1,1     2   9                NaN           NaN
q-plus,537,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,538,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,539,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,540,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,541,1,1     2  10                NaN           NaN
q-plus,542,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,543,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,544,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,545,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,546,1,1     2  11                NaN           NaN
q-plus,547,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,548,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,549,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,550,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,551,1,1     2  12                NaN           NaN
q-plus,555,1,1     1 NOTE:Retrying step
q-plus,575,1,1     1 NOTE:Retrying step
q-plus,586,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 8.4683E-297 in GE
q-plus,587,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 8.4683E-297 in GE
q-plus,588,1,1     2   7                NaN           NaN
q-plus,589,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,590,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,591,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,592,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,593,1,1     2   8                NaN           NaN
q-plus,594,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,595,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,596,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,597,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,598,1,1     2   9                NaN           NaN
q-plus,599,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,600,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,601,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,602,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,603,1,1     2  10                NaN           NaN
q-plus,604,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,605,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,606,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,607,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,608,1,1     2  11                NaN           NaN
q-plus,609,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,610,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,611,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,612,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,613,1,1     2  12                NaN           NaN
q-plus,617,1,1     1 NOTE:Retrying step
q-plus,628,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 1.6944E-296 in GE
q-plus,629,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 1.6944E-296 in GE
q-plus,630,1,1     2   7                NaN           NaN
q-plus,631,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,632,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,633,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,634,1,NOTE:Pivot   4 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,635,1,1     2   8                NaN           NaN
q-plus,636,1,NOTE:Pivot   1 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,637,1,NOTE:Pivot   2 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
q-plus,638,1,NOTE:Pivot   3 = 0.0000E+000 <= ||A||_max/1.7977E+308 = 0.0000E+000 in GE
