branch,point,ty,label,type,z_W0,l2_norm,sigma_S,R_zeta,sigma_plus_Rzeta,R,driving_factor,k
1,86,0,0,regular,5849.999735,10178.504111,-0.00012260259793,-7.7693944678e-08,-0.00012268029187,0.0092226705878,-5.9206112235e-15,16.342632158
1,87,0,0,regular,5799.99973,10178.504111,-0.00012260259793,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-6.43686493e-14,16.342632158
1,88,0,0,regular,5749.999725,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,3.9078289216e-13,16.342632158
1,89,0,0,regular,5699.99972,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,3.2832937757e-13,16.342632158
1,90,4,13,UZ/NPR,5649.999715,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,1.7494165838e-13,16.342632158
1,91,0,0,regular,5599.99971,10178.504111,-0.00012260259829,-7.7693944682e-08,-0.00012268029223,0.0092226705878,-3.0259822426e-13,16.342632158
1,92,0,0,regular,5549.999705,10178.504111,-0.00012260259829,-7.769394468e-08,-0.00012268029223,0.0092226705878,2.2208970774e-13,16.342632158
1,93,0,0,regular,5499.9997,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-1.3415657474e-13,16.342632158
1,94,0,0,regular,5449.999695,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,1.1918244169e-13,16.342632158
1,95,0,0,regular,5399.99969,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-4.3442333064e-13,16.342632158
1,96,0,0,regular,5349.999685,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,2.7618532461e-14,16.342632158
1,97,0,0,regular,5299.99968,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,-1.1237538677e-13,16.342632158
1,98,0,0,regular,5249.999675,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,3.8089323362e-14,16.342632158
1,99,0,0,regular,5199.99967,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,6.974663902e-13,16.342632158
1,100,4,14,UZ/NPR,5149.999665,10178.504111,-0.00012260259829,-7.769394468e-08,-0.00012268029223,0.0092226705878,-6.4351128592e-13,16.342632158
1,101,0,0,regular,5099.99966,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,-5.4107933412e-13,16.342632158
1,102,0,0,regular,5049.999655,10178.504111,-0.00012260259829,-7.7693944682e-08,-0.00012268029223,0.0092226705878,7.5207201577e-14,16.342632158
1,103,0,0,regular,4999.99965,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,7.9411824339e-13,16.342632158
1,104,0,0,regular,4949.999645,10178.504111,-0.00012260259792,-7.7693944682e-08,-0.00012268029187,0.0092226705878,-2.0661770905e-13,16.342632158
1,105,0,0,regular,4899.99964,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,1.0419373697e-12,16.342632158
1,106,0,0,regular,4849.999635,10178.504111,-0.00012260259792,-7.7693944683e-08,-0.00012268029187,0.0092226705878,1.0851562704e-13,16.342632158
1,107,0,0,regular,4799.99963,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-2.5817889493e-13,16.342632158
1,108,0,0,regular,4749.999625,10178.504111,-0.00012260259793,-7.7693944679e-08,-0.00012268029187,0.0092226705878,-4.41070791e-13,16.342632158
1,109,0,0,regular,4699.99962,10178.504111,-0.00012260259792,-7.7693944683e-08,-0.00012268029187,0.0092226705878,-2.6884917903e-13,16.342632158
1,110,4,15,UZ/NPR,4649.999615,10178.504111,-0.00012260259793,-7.7693944681e-08,-0.00012268029187,0.0092226705878,2.7612460929e-13,16.342632158
1,111,0,0,regular,4599.99961,10178.504111,-0.00012260259793,-7.7693944683e-08,-0.00012268029187,0.0092226705878,-2.9396103607e-13,16.342632158
1,112,0,0,regular,4549.999605,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,3.6096819978e-13,16.342632158
1,113,0,0,regular,4499.9996,10178.504111,-0.00012260259793,-7.7693944677e-08,-0.00012268029187,0.0092226705878,-1.2215575773e-13,16.342632158
1,114,0,0,regular,4449.999595,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-2.1461131483e-13,16.342632158
1,115,0,0,regular,4399.99959,10178.504111,-0.00012260259793,-7.7693944682e-08,-0.00012268029187,0.0092226705878,-2.806036653e-13,16.342632158
1,116,0,0,regular,4349.999585,10178.504111,-0.00012260259793,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-2.319221204e-13,16.342632158
1,117,0,0,regular,4299.99958,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,-5.1907610155e-13,16.342632158
1,118,0,0,regular,4249.999575,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,-1.9972391796e-13,16.342632158
1,119,0,0,regular,4199.99957,10178.504111,-0.00012260259829,-7.769394468e-08,-0.00012268029223,0.0092226705878,3.3499938934e-13,16.342632158
1,120,4,16,UZ/NPR,4149.999565,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,3.9077768799e-13,16.342632158
1,121,0,0,regular,4099.99956,10178.504111,-0.00012260259829,-7.769394468e-08,-0.00012268029223,0.0092226705878,-5.9733468172e-14,16.342632158
1,122,0,0,regular,4049.999555,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-1.3796429277e-13,16.342632158
1,123,0,0,regular,3999.99955,10178.504111,-0.00012260259829,-7.769394468e-08,-0.00012268029223,0.0092226705878,-2.7922109069e-14,16.342632158
1,124,0,0,regular,3949.999545,10178.504111,-0.00012260259829,-7.7693944681e-08,-0.00012268029223,0.0092226705878,3.9722912459e-13,16.342632158
1,125,0,0,regular,3899.99954,10178.504111,-0.00012260259756,-7.7693944681e-08,-0.0001226802915,0.0092226705878,2.5831246864e-13,16.342632158
1,126,0,0,regular,3849.999535,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,3.2832937757e-13,16.342632158
1,127,0,0,regular,3799.99953,10178.504111,-0.00012260259829,-7.7693944683e-08,-0.00012268029223,0.0092226705878,-3.5261030207e-13,16.342632158
1,128,0,0,regular,3749.999525,10178.504111,-0.00012260259792,-7.7693944681e-08,-0.00012268029187,0.0092226705878,5.6728927111e-14,16.342632158
1,129,0,0,regular,3699.99952,10178.504111,-0.00012260259756,-7.7693944682e-08,-0.0001226802915,0.0092226705878,-1.6930554181e-13,16.342632158
1,130,4,17,UZ/NPR,3649.999515,10178.504111,-0.00012260259756,-7.7693944681e-08,-0.00012268029151,0.0092226705878,-7.1263481227e-13,16.342632158
1,131,0,0,regular,3599.99951,10178.504111,-0.00012260259793,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-5.5064112991e-13,16.342632158
1,132,0,0,regular,3549.999505,10178.504111,-0.00012260259756,-7.7693944682e-08,-0.0001226802915,0.0092226705878,3.9052962253e-13,16.342632158
1,133,0,0,regular,3499.9995,10178.504111,-0.00012260259792,-7.769394468e-08,-0.00012268029187,0.0092226705878,2.1072900369e-13,16.342632158
1,134,0,0,regular,3449.999495,10178.504111,-0.00012260259793,-7.7693944681e-08,-0.00012268029187,0.0092226705878,-9.348424812e-14,16.342632158
1,135,0,0,regular,3399.99949,10178.504111,-0.00012260259756,-7.7693944682e-08,-0.0001226802915,0.0092226705878,-3.6482969423e-13,16.342632158
1,136,0,0,regular,3349.999485,10178.504111,-0.00012260259793,-7.7693944682e-08,-0.00012268029187,0.0092226705878,-2.9395756662e-13,16.342632158
1,137,0,0,regular,3299.99948,10178.504111,-0.00012260259793,-7.769394468e-08,-0.00012268029187,0.0092226705878,-7.9779412243e-13,16.342632158
1,138,0,0,regular,3249.999475,10178.504111,-0.00012260259829,-7.7693944682e-08,-0.00012268029223,0.0092226705878,-1.1840528558e-13,16.342632158
