run,branch,point,ty,type,label,is_user_point,W_a0,scaled_l2_norm,Z_scaled,U_scaled,P_log_ratio_over_10,M_log_ratio,z_m,u_m_s,m_kg
pmass-wA0-plus,1,61,0,regular,0,False,1.3989246996,0.60086592299,0.51194425848,-0.25597212924,0.18284201563,1.8284201563,9669.221958108936,1.6538902094553225,6.72339728355862e-09
pmass-wA0-plus,1,62,0,regular,0,False,1.412152654,0.61571191055,0.52518198883,-0.26259099442,0.18528627863,1.8528627863,9670.545731143937,1.6472713442753224,6.889759680382702e-09
pmass-wA0-plus,1,63,0,regular,0,False,1.4252426919,0.63067663395,0.53853422205,-0.26926711102,0.18769424928,1.8769424928,9671.880954465936,1.6405952276753224,7.057676653494808e-09
pmass-wA0-plus,1,64,0,regular,0,False,1.4381939438,0.64575874517,0.55199939553,-0.27599969776,0.1900662809,1.900662809,9673.227471813936,1.6338626409353223,7.227088280775394e-09
pmass-wA0-plus,1,65,0,regular,0,False,1.4510056545,0.66095681032,0.5655758798,-0.2827879399,0.19240272957,1.9240272956999998,9674.585120240936,1.6270743987953225,7.397933573116079e-09
pmass-wA0-plus,1,66,0,regular,0,False,1.4636771841,0.67626931499,0.57926198316,-0.28963099158,0.19470395471,1.9470395471,9675.953730576935,1.6202313471153225,7.570150631537996e-09
pmass-wA0-plus,1,67,0,regular,0,False,1.4762080067,0.6916946707,0.59305595738,-0.29652797869,0.19697031943,1.9697031943,9677.333127998936,1.6133343600053225,7.743676795130124e-09
pmass-wA0-plus,1,68,0,regular,0,False,1.4885977105,0.70723122039,0.60695600247,-0.30347800124,0.19920219104,1.9920219104,9678.723132507936,1.6063843374553224,7.918448807756689e-09
pmass-wA0-plus,1,69,0,regular,0,False,1.5008459969,0.72287724447,0.62096027199,-0.310480136,0.20139994124,2.0139994124,9680.123559459937,1.5993822026953224,8.094402966450139e-09
pmass-wA0-plus,1,70,4,UZ/NPR,12,True,1.5129526777,0.73863096724,0.63506687872,-0.31753343936,0.20356394623,2.0356394623,9681.534220132937,1.5923288993353224,8.27147526719584e-09
pmass-wA0-plus,1,71,0,regular,0,False,1.5249176749,0.75449056225,0.64927389933,-0.32463694966,0.20569458694,2.0569458694000002,9682.954922193936,1.5852253890353225,8.44960156373989e-09
pmass-wA0-plus,1,72,0,regular,0,False,1.5367410174,0.77045415855,0.66357937985,-0.33178968992,0.20779224896,2.0779224896,9684.385470245936,1.5780726487753225,8.628717704389621e-09
pmass-wA0-plus,1,73,0,regular,0,False,1.5484228392,0.7865198462,0.67798134053,-0.33899067026,0.20985732255,2.0985732255,9685.825666313936,1.5708716684353223,8.808759676224759e-09
pmass-wA0-plus,1,74,0,regular,0,False,1.5599633763,0.80268568218,0.692477781,-0.3462388905,0.21189020247,2.1189020247,9687.275310360936,1.5636234481953224,8.989663734024031e-09
pmass-wA0-plus,1,75,0,regular,0,False,1.5713629634,0.81894969589,0.70706668505,-0.35353334253,0.21389128784,2.1389128784,9688.734200765935,1.5563289961653224,9.171366530561954e-09
pmass-wA0-plus,1,76,0,regular,0,False,1.5826220314,0.83530989402,0.72174602486,-0.36087301243,0.21586098199,2.1586098199,9690.202134746936,1.5489893262653225,9.353805244578164e-09
