method,t_h,x_m,z_m,u_m_s,w_m_s,m_kg,a,c,C_D,Re,S_i,η,R,driving_factor,m_dot
BDF,489.8333333333333,3346083.8146224148,9618.028147695677,1.9098592616110874,2.92427945473833e-07,1.0802283902350903e-09,5.3687581392790725e-05,0.00010737516278558145,9.830419897973131,2.4491838925575373,1.002204719613492,1.0236056295391354,0.0022046841492087015,3.546428329953208e-08,6.153563842473355e-20
BDF,490.0,3347229.7299252725,9618.028318582881,1.9098584071705633,2.7768011674234e-07,1.0802284321145753e-09,5.368758210729598e-05,0.00010737516421459196,9.830419753134839,2.44918393478295,1.0022047324436991,1.0236056637165762,0.002204687369129807,4.5074569313130475e-08,7.821086881772099e-20
BDF,490.1666666666667,3348375.644730399,9618.02847979521,1.909857601103544,2.601458657331487e-07,1.0802284837031746e-09,5.368758298744827e-05,0.00010737516597489654,9.830419534475318,2.4491839985298274,1.0022047445475084,1.023605695959042,0.002204690415703684,5.413180472401899e-08,9.392647744820805e-20
BDF,490.3333333333333,3349521.5590691986,9618.028629724282,1.9098568514520262,2.400322985512714e-07,1.0802285443788528e-09,5.368758402263503e-05,0.00010737516804527006,9.830419244904824,2.4491840829497318,1.002204755803862,1.0236057259448565,0.0022046932584557965,6.254540623872734e-08,1.0852528949423859e-19
BDF,490.5,3350667.4729777016,9618.028766893454,1.9098561655992872,2.175718642607889e-07,1.0802286134294578e-09,5.368758520070623e-05,0.00010737517040141246,9.830418888053298,2.449184186984413,1.0022047661033482,1.0236057533786909,0.0022046958693031442,7.023404504378009e-08,1.218661879265622e-19
BDF,490.6666666666667,3351813.3864961443,9618.02888997224,1.9098555501978571,1.9301973917880627e-07,1.080228690060721e-09,5.368758650811085e-05,0.0001073751730162217,9.830418468227359,2.4491843093783463,1.0022047753434913,1.023605777994448,0.002204698222829336,7.712066194725045e-08,1.3381546405228951e-19
BDF,490.8333333333333,3352959.299666322,9618.028997844747,1.9098550108272472,1.66637111111101e-07,1.0802287734491587e-09,5.3687587930799446e-05,0.00010737517586159889,9.830417990107298,2.449184448767067,1.002204783442554,1.0236057995689496,0.002204700297600783,8.314495325394133e-08,1.4426848230460665e-19
BDF,491.0,3354105.2125368277,9618.029089428775,1.9098545528985766,1.3872408788445917e-07,1.0802288626383041e-09,5.3687589452453715e-05,0.00010737517890490743,9.830417459296656,2.449184603516955,1.0022047903188183,1.0236058178857552,0.002204702072714068,8.824610419353243e-08,1.5311972024517213e-19
BDF,491.1666666666667,3355251.1251537097,9618.02916396844,1.909854180191328,1.0956246884615237e-07,1.0802289567227233e-09,5.368759105762607e-05,0.00010737518211525214,9.830416881335356,2.449184772012932,1.0022047959154787,1.023605832793688,0.0022047035333929168,9.238208581322307e-08,1.602962514646883e-19
BDF,491.3333333333333,3356397.03757188,9618.02922075122,1.9098538962682265,7.948512242803687e-08,1.0802290546237266e-09,5.368759272791299e-05,0.00010737518545582598,9.830416262970727,2.449184952287922,1.002204800178422,1.023605844150244,0.002204704665541868,9.551288019347959e-08,1.6572863890440687e-19
