method,kind,t_h,z_m
LSODA,trough,333.6666666666667,9617.93112165403
LSODA,trough,343.8333333333333,9617.953179169217
LSODA,trough,354.1666666666667,9617.970119652344
LSODA,trough,364.3333333333333,9617.983203418498
LSODA,trough,374.5,9617.993315156094
LSODA,trough,384.6666666666667,9618.00112777426
LSODA,trough,394.8333333333333,9618.007155847785
LSODA,trough,405.0,9618.011817143608
LSODA,trough,415.3333333333333,9618.015399934215
LSODA,trough,425.5,9618.018164426925
LSODA,trough,435.6666666666667,9618.020298880565
LSODA,trough,445.8333333333333,9618.021950233611
LSODA,trough,456.0,9618.023224519517
LSODA,trough,466.1666666666667,9618.024208841189
LSODA,trough,476.5,9618.02496624281
LSODA,trough,486.6666666666667,9618.025549179814
LSODA,trough,496.8333333333333,9618.026000267908
