method,t_h,x_m,z_m,u_m_s,w_m_s,m_kg,a,c,C_D,Re,S_i,η,R,driving_factor,m_dot
BDF,134.83333333333334,905347.5005430949,9633.095538858845,1.8345223562594837,0.00016524918126516208,1.0790342073585704e-09,5.3667199950935075e-05,0.00010733439990187015,9.850860555908213,2.443239124919789,1.0033362196144877,1.026619107771769,0.0024848201628459164,0.0008513994516417957,1.4740308130985483e-15
BDF,135.0,906448.1451437196,9633.114791640824,1.8344260109774824,-0.00010073752828763344,1.0799197860944575e-09,5.368231580114542e-05,0.00010736463160229084,9.844845606738556,2.4449854711194607,1.0033376657312187,1.026622958328165,0.002485919453307563,0.0008517462779111789,1.4753009122295378e-15
BDF,135.16666666666666,907548.9705523018,9632.975315007738,1.8351233137209404,-0.00036338688244093455,1.080801467396607e-09,5.3697356926725823e-05,0.00010739471385345165,9.838737040321773,2.4467615425589244,1.0033271893691447,1.0265950630015477,0.0024840534579013197,0.0008431359112433478,1.461071432574332e-15
BDF,135.33333333333334,908650.4491100643,9632.679935401455,1.836600133120783,-0.0006199667400805582,1.0816700233929217e-09,5.37121661508676e-05,0.0001074243323017352,9.83259991083921,2.448548506912952,1.0033050029696133,1.026535987080291,0.0024792646194339517,0.0008257383501793837,1.431607452442373e-15
BDF,135.5,909753.0422622045,9632.233092748653,1.8388342703597105,-0.0008678331204831198,1.0825164324518485e-09,5.372659014267272e-05,0.00010745318028534544,9.826498788204226,2.4503275640594957,1.003271440310081,1.0264466185497305,0.0024716258621378497,0.0007998144479432366,1.3873316721360098e-15
BDF,135.66666666666666,910857.1957976343,9631.640779874966,1.8417957620927734,-0.0011044571133625083,1.08333197244497e-09,5.374048097822909e-05,0.00010748096195645818,9.820497096173307,2.4520801400921344,1.0032269519400703,1.0263281559749933,0.0024612396615826537,0.0007657122784876236,1.3288193541213072e-15
BDF,135.83333333333334,911963.3352873205,9630.910466264611,1.8454472616408957,-0.0013274503900742324,1.0841083106191215e-09,5.375369763200041e-05,0.00010750739526400082,9.814656475571688,2.453788078454602,1.003172099426446,1.0261820932529224,0.002448236803053995,0.0007238626233919227,1.2567916664176177e-15
BDF,136.0,913071.8617854281,9630.051006500875,1.8497444967810355,-0.001534588916329519,1.0848375887931902e-09,5.376610737856543e-05,0.00010753221475713086,9.809036180410175,2.455433825611976,1.0031075484425633,1.026010201300175,0.002432774829206245,0.00067477361335709,1.1721074400047713e-15
BDF,136.16666666666666,914183.1478343767,9629.072534797133,1.854636797083422,-0.0017238346481633123,1.085512503010378e-09,5.377758709220674e-05,0.00010755517418441348,9.80369251170671,2.457000609372508,1.0030340608155075,1.0258145069594267,0.002415036199160576,0.0006190246163469242,1.0757534580480445e-15
BDF,136.33333333333334,915297.5338031937,9627.98634730564,1.8600676823613578,-0.0018933550913359319,1.086126376985246e-09,5.378802443566484e-05,0.00010757604887132967,9.798678291874984,2.4584726084083703,1.0029524856464467,1.025597269461128,0.0023952261876772868,0.0005572594587693919,9.688333924741472e-16
BDF,136.5,916415.3245908386,9626.804773586357,1.8659755053211569,-0.002041540556944708,1.086673228631152e-09,5.3797318928613e-05,0.000107594637857226,9.794042382820871,2.459835111334482,1.0028637496173396,1.0253609547172713,0.002373570548457606,0.000490179068881989,8.525555169064946e-16
BDF,136.66666666666666,917536.786728699,9625.541038461573,1.8722941422838748,-0.0021670189448920268,1.0871478288958663e-09,5.380538288547316e-05,0.00010761076577094632,9.789829250773723,2.4610746636593555,1.0027688465817166,1.0251082076923148,0.0023503129638429783,0.0004185336178736325,7.282193106064553e-16
BDF,136.83333333333334,918662.1459119727,9624.209115671354,1.8789537249038861,-0.0022686679150708245,1.0875457522220124e-09,5.381214221364126e-05,0.00010762428442728252,9.786078580424682,2.4621792010095014,1.002668826535208,1.0248418231342709,0.002325712307955919,0.00034311422725202736,5.972010661897203e-16
BDF,137.0,919791.5849816668,9622.823574987317,1.8858814045967056,-0.0023456243496164024,1.0878634180950574e-09,5.381753706549902e-05,0.00010763507413099803,9.782824940287185,2.4631381672109542,1.0025647841059369,1.0245647149974633,0.0023000397560804073,0.0002647443498564497,4.609386913505423e-16
BDF,137.16666666666666,920925.2423726354,9621.399424510832,1.8930021410454485,-0.002397291050278793,1.0880981232740523e-09,5.382152233956347e-05,0.00010764304467912693,9.780097500536638,2.4639426160287328,1.0024578466843987,1.0242798849021664,0.0022735757754585636,0.00018427090894018207,3.2091586495771937e-16
BDF,137.33333333333334,922063.2110390763,9619.95194983142,1.9002395064075108,-0.00242334063442536,1.0882480643864204e-09,5.3824068027223765e-05,0.00010764813605444753,9.777919804311388,2.464585295502322,1.0023491623251866,1.023990389966284,0.0022466070326475664,0.00010255529253899373,1.7864573925619097e-16
BDF,137.5,923205.5378649906,9618.496551691484,1.907516496990366,-0.002423716613720478,1.08831235065811e-09,5.382515940261028e-05,0.00010765031880522056,9.77630959325041,2.4650607139617966,1.0022398875446554,1.0236993103382968,0.002219423252753763,2.0464291901664718e-05,3.565437329871499e-17
BDF,137.66666666666666,924352.2235620874,9617.048583825966,1.9147563440537232,-0.002398631667648291,1.0882910066644779e-09,5.382479705459146e-05,0.00010764959410918292,9.775278687780167,2.46536518699811,1.0021311751410362,1.0234097167651934,0.002192314066822255,-6.113892578603168e-05,-1.0653590805413392e-16
BDF,137.83333333333334,925503.223064536,9615.62318851323,1.9218833360566991,-0.0023485630237349404,1.0881849648780746e-09,5.382299675752345e-05,0.0001076459935150469,9.77483292068217,2.4654968653786966,1.0020241618470054,1.023124637702646,0.002165565806498543,-0.00014140395949316376,-2.4642344736538093e-16
BDF,138.0,926658.4463878534,9614.235151437124,1.9288235443496173,-0.002274245441434204,1.0879960485744392e-09,5.381978919017428e-05,0.00010763957838034856,9.774972136636933,2.465455739863351,1.001919957441457,1.0228470302874249,0.0021394586559377884,-0.0002195012144807786,-3.8254231393409526e-16
BDF,138.16666666666666,927817.7599816355,9612.898729851499,1.9355056823551913,-0.002176660946976045,1.0877269446596117e-09,5.381521949479473e-05,0.00010763043898958946,9.775690225257687,2.4652436323811764,1.0018196318685848,1.0225797459702997,0.002114263304933988,-0.0002946314363491847,-5.134799671425851e-16
BDF,138.33333333333334,928980.9883903348,9611.627537187485,1.9418616825356902,-0.0020570276208314677,1.087381169886364e-09,5.380934673411296e-05,0.00010761869346822592,9.776975229697157,2.464864161162047,1.0017242065932934,1.022325507437497,0.0020902386660961118,-0.00036603207280269147,-6.378893447554107e-16
BDF,138.5,930147.916478527,9610.434386770954,1.947827477810386,-0.0019167845633795391,1.0869630256248945e-09,5.3802243162655577e-05,0.00010760448632531115,9.778809487687523,2.4643226927469533,1.0016346428986715,1.022086877354191,0.002067628835533083,-0.00043298593686153745,-7.545048747815636e-16
BDF,138.66666666666666,931318.2919718788,9609.331165115522,1.9533436350966544,-0.0017575753712891448,1.086477546071331e-09,5.379399339343284e-05,0.00010758798678686568,9.78116983131073,2.463626273435836,1.001551832403545,1.0218662330231045,0.002046660622433972,-0.0004948282188889106,-8.621554824965115e-16
BDF,138.83333333333334,932491.8285967283,9608.328707337812,1.958355978239882,-0.001581228278856344,1.0859304342204135e-09,5.3784693361409654e-05,0.00010756938672281931,9.784027860174598,2.462783536313721,1.0014765877454699,1.0216657414675625,0.002027541132487671,-0.0005509533870177892,-9.597772412309937e-16
