method,t_h,x_m,z_m,u_m_s,w_m_s,m_kg,a,c,C_D,Re,S_i,η,R,driving_factor,m_dot
LSODA,129.5,868468.3493836025,9601.245500474632,1.9937723073977025,-0.000621074202272724,1.08302372031817e-09,5.373523143600849e-05,0.00010747046287201697,9.797832345268654,2.4587211217380656,1.000944982190038,1.0202491000949263,0.0018932376771536592,-0.0009482554871156352,-1.6506680490603507e-15
LSODA,129.66666666666666,869665.08120861,9600.963499462483,1.995182405168664,-0.0003185322533986114,1.0820246981213868e-09,5.371821121806924e-05,0.00010743642243613848,9.804345930559993,2.456808917719576,1.0009238198007282,1.0201926998924966,0.0018873365079499363,-0.000963516707221738,-1.6764227702643424e-15
LSODA,129.83333333333334,870862.3863010787,9600.863436692878,1.9956828118911303,-1.5148817242014394e-05,1.081015595668049e-09,5.3701008634683856e-05,0.00010740201726936771,9.811087674808473,2.4548328479472357,1.0009163107644423,1.0201726873385757,0.0018848290832101855,-0.000968518318767867,-1.684268193999967e-15
LSODA,130.0,872059.7190503682,9600.944856136999,1.9952758067310734,0.0002858786808024643,1.0800071420317386e-09,5.3683806422995154e-05,0.00010736761284599031,9.817985255734554,2.452814372725696,1.0009224207431366,1.0201889712274,0.0018857102643920543,-0.0009632895212554116,-1.6742910478211601e-15
LSODA,130.16666666666666,873256.5380786805,9601.205396594807,1.9939731947296655,0.0005814026302897406,1.07900995754067e-09,5.3666785917132904e-05,0.00010733357183426581,9.82496501562795,2.450775209361728,1.0009419726379356,1.0202410793189616,0.0018899392912976054,-0.000947966653361999,-1.646766352927051e-15
LSODA,130.33333333333334,874452.3119018519,9601.640831464329,1.9917961079667243,0.0008683580190368174,1.0780344423052533e-09,5.36501251331664e-05,0.0001073002502663328,9.831952742272039,2.448737096145782,1.0009746495621612,1.0203281662928658,0.001897440632683678,-0.0009227910705224775,-1.602152088225612e-15
LSODA,130.5,875646.5244416317,9602.245127877452,1.988774709890963,0.001143794149188428,1.0770906685252368e-09,5.363399690031171e-05,0.00010726799380062342,9.838874462302437,2.446721558750393,1.0010199992635536,1.0204490255754903,0.0019081051895812624,-0.0008881059260277008,-1.5410819483636455e-15
LSODA,130.66666666666666,876838.680332415,9603.010524457499,1.9849478065409467,0.001404904937208135,1.0761882776696366e-09,5.3618567058652436e-05,0.00010723713411730487,9.84565723787504,2.4447496817335588,1.001077439920055,1.0206021048914997,0.0019217918308670374,-0.0008443519108119919,-1.4643563613970638e-15
LSODA,130.83333333333334,878028.30996792,9603.927626761742,1.9803623693406194,0.0016490575123680375,1.07533638355055e-09,5.3603992743081576e-05,0.00010720798548616315,9.852229957677613,2.4428418875291107,1.0011462672730558,1.0207855253523486,0.001938329237894088,-0.0007920619648383092,-1.3729318543683982e-15
LSODA,131.0,879214.9742363949,9604.985519285898,1.9750729750843383,0.0018738187803253883,1.074543482216181e-09,5.359042077210977e-05,0.00010718084154421954,9.858524112044806,2.441017725429123,1.0012256629844751,1.0209971038571797,0.0019575180326096347,-0.0007318550481345059,-1.267908978828076e-15
LSODA,131.16666666666666,880398.2688965749,9606.171892734004,1.9691411695939955,0.002076979695807677,1.073817369490931e-09,5.357798615896354e-05,0.00010715597231792709,9.864474542529713,2.439295672664769,1.0013147041413895,1.021234378546801,0.0019791331616487635,-0.0006644290202593079,-1.1505189309649035e-15
LSODA,131.33333333333334,881577.8285507316,9607.473185097693,1.9626347623286997,0.002256576982964245,1.0731650668871234e-09,5.356681076092909e-05,0.00010713362152185818,9.870020155861946,2.4376929496222255,1.0014123737928011,1.0214946370195388,0.0020029265073620707,-0.0005905527145609458,-1.0221090551574556e-15
LSODA,131.5,882753.3301757575,9608.874734946581,1.955627059937819,0.002410912084330094,1.0725927565062856e-09,5.355700208121359e-05,0.00010711400416242718,9.875104592633342,2.4362253509586,1.0015175724074241,1.0217749469893163,0.0020286296956020856,-0.0005110572881779686,-8.841273978141737e-16
LSODA,131.66666666666666,883924.4961782008,9610.360945207065,1.948196047371153,0.002538567144501474,1.0721057254445308e-09,5.354865223580754e-05,0.00010709730447161508,9.879676841382063,2.4349070941825137,1.0016291301156945,1.022072189041413,0.002055957069304522,-0.00042682695360997825,-7.381065080389506e-16
LSODA,131.83333333333334,885091.0969445077,9611.91545560195,1.9404235256840927,0.0026384178723114528,1.071708320103665e-09,5.354183709572173e-05,0.00010708367419144345,9.883691789454122,2.433750687005731,1.0017458196107838,1.02238309112039,0.002084608796411845,-0.0003387891856280506,-5.85646647057946e-16
LSODA,132.0,886252.9528633363,9613.521321839302,1.9323942160958931,0.002709643158925955,1.071403910706727e-09,5.353661561288699e-05,0.00010707323122577398,9.887110702825174,2.4327668145399204,1.0018663695621894,1.0227042643678605,0.0021142740804690877,-0.00024790451827964724,-4.283985912644677e-16
LSODA,132.16666666666666,887409.9358026409,9615.1611995768,1.924194840169253,0.0027517313673401456,1.0711948662113094e-09,5.353302933574686e-05,0.00010706605867149372,9.88990162810952,2.431964247163821,1.0019894783945382,1.02303223991536,0.0021446344422262897,-0.00015515604768806535,-2.6804620280196494e-16
LSODA,132.33333333333334,888561.9700302134,9616.817531148905,1.9159131861752314,0.0027644832481034855,1.071082539708322e-09,5.353110211820111e-05,0.00010706220423640222,9.892039711205044,2.4313497696357147,1.002113828284396,1.023363506229781,0.00217536704078558,-6.153875638958885e-05,-1.0628893051011892e-16
LSODA,132.5,889709.0325724353,9618.47273302839,1.907637171785241,0.002748011473857891,1.0710672642987996e-09,5.353084002328618e-05,0.00010706168004657236,9.893507428330725,2.4309281317950675,1.0022380992203053,1.023694546605678,0.0022061480031980584,3.195121710720906e-05,5.5175591564075167e-17
LSODA,132.66666666666666,890851.1530120707,9620.10938200094,1.8994539131969759,0.002702736823542017,1.0711483593476483e-09,5.353223142067724e-05,0.00010706446284135448,9.894294726635755,2.4307020209699415,1.0023609829808167,1.0240218764001878,0.0022366557319144775,0.00012432724890218405,2.1466870369315402e-16
LSODA,132.83333333333334,891988.4127319609,9621.710398061916,1.89144881064853,0.002629381086807917,1.0713241469174538e-09,5.3535247274738495e-05,0.00010707049454947699,9.894399073087051,2.430672055976746,1.0024811968735867,1.0243420796123832,0.0022665741601075075,0.00021462271347921433,3.7054747712343876e-16
LSODA,133.0,893120.9436173735,9623.259222097331,1.8837046600107124,0.002528956794712801,1.0715919781030732e-09,5.3539841617729233e-05,0.00010707968323545847,9.893825411823295,2.430836802399722,1.0025974970904366,1.0246518444194663,0.002295595925616857,0.00030190116481969417,5.212209282755593e-16
LSODA,133.16666666666666,894248.9262354723,9624.739986485807,1.8763007997736179,0.002402753919042995,1.0719482689013767e-09,5.354595220062701e-05,0.00010709190440125402,9.89258603167841,2.431192808635329,1.002708691546493,1.0249479972971616,0.0023234254351059518,0.00038526611138694003,6.651655718612272e-16
LSODA,133.33333333333334,895372.5875158203,9626.13767685348,1.8693123022676459,0.002252323714734999,1.072388545176437e-09,5.35535013121614e-05,0.0001071070026243228,9.890700346981387,2.431734662012205,1.0028136520595792,1.0252275353706959,0.0023497817909752037,0.000463870268603971,8.00940169038468e-16
LSODA,133.5,896492.1979609719,9627.438283326344,1.8628092173966833,0.0020794599048281153,1.072907496205054e-09,5.356239675485363e-05,0.00010712479350970726,9.88819459599192,2.4324550641518736,1.0029113257433955,1.0254876566652689,0.002374401554623139,0.0005369241887723374,9.271995496144835e-16
LSODA,133.66666666666666,897608.0684209759,9628.628939760838,1.8568558764792957,0.0018861774658486747,1.0734990362141266e-09,5.357253296520564e-05,0.00010714506593041128,9.885101462981497,2.433344924451793,1.0030007455076015,1.0257257879521677,0.002397041320949907,0.000603704186651636,1.0427074114638805e-15
LSODA,133.83333333333334,898720.546469947,9629.698049584667,1.8515102630381166,0.0016746892589833125,1.0741563732481357e-09,5.35837922636598e-05,0.0001071675845273196,9.881459630512062,2.4343934705750363,1.003081039554203,1.0259396099169336,0.00241748008044831,0.0006635594737546035,1.1463479823333564e-15
LSODA,134.0,899830.0124267641,9630.635397011622,1.8468234567187543,0.0014473806765438549,1.0748720846863099e-09,5.35960462194971e-05,0.0001071920924389942,9.877313267823354,2.435588375137484,1.0031514397755559,1.0261270794023243,0.0024355213462854994,0.000715918429270376,1.2371364445468904e-15
LSODA,134.16666666666666,900936.8750653533,9631.432242608496,1.8428391554475467,0.001206782898446551,1.0756381986150572e-09,5.3609157113893315e-05,0.00010721831422778663,9.872711467872273,2.4369158959527635,1.0032112889727922,1.0262864485216994,0.0024509950262861058,0.0007602939465061087,1.3142280306383435e-15
LSODA,134.33333333333334,902041.5670628471,9632.081402349682,1.8395932801505464,0.0009555446682749216,1.0764462802399336e-09,5.362297948412719e-05,0.00010724595896825438,9.867707636070953,2.438361029964024,1.0032600468365034,1.0264162804699366,0.002463759021295833,0.00079628781520755,1.3769257237730598e-15
LSODA,134.5,903144.5402362118,9632.577309486327,1.8371136653994153,0.0006964032407140995,1.0772875224743818e-09,5.363736173139378e-05,0.00010727472346278756,9.862358844410739,2.4399076779177093,1.0032972946284004,1.0265154618972654,0.002473700533686791,0.0008235940947136579,1.4246864756980756e-15
LSODA,134.66666666666666,904246.2606196639,9632.91605875007,1.8354198383838918,0.0004321546367633325,1.0781528398022863e-09,5.365214777436424e-05,0.00010730429554872848,9.85672515739413,2.441538818874311,1.0033227385288008,1.026583211750014,0.002480737072237959,0.0008420014565628693,1.4571258852152531e-15
LSODA,134.83333333333334,905347.2034363472,9633.09543260662,1.8345228876350905,0.000165623598470128,1.079032964477296e-09,5.3667178730519825e-05,0.00010733435746103965,9.850868939698922,2.443236692550452,1.0033362116332016,1.026619086521324,0.002484817142337427,0.0008513944908642088,1.4740212973685965e-15
LSODA,135.0,906447.8480183068,9633.114909470443,1.834425421942988,-0.00010036644043549222,1.0799185440923847e-09,5.3682294607325425e-05,0.00010736458921465085,9.844854154232902,2.4449829877254814,1.0033376745815572,1.0266229818940888,0.002485920613412195,0.0008517539681450088,1.475313270638813e-15
LSODA,135.16666666666666,907548.6727287675,9632.9756539839,1.8351216189515949,-0.0003630230580010551,1.080800239537551e-09,5.3697335985632034e-05,0.00010739467197126407,9.838745658844442,2.4467590349061306,1.0033272148304857,1.02659513079678,0.0024840587586392056,0.0008431560718464974,1.4611053933065573e-15
